Partner;Partner_region_zone;Appointment ID;URL;Calendar Name;Date Offered;Time Offered;Link Text;Availability
"The Reef;the_reef_sfo1_zone_e;36651367;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=36651367;710 Labs List Deliveries (Pacific Time);7/5/2026;8:00 AM;8:00am PDT Sunday, July 5, 2026;16"
"The Reef;the_reef_sfo1_zone_f;36651386;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=36651386;710 Labs List Deliveries (Pacific Time);7/6/2026;11:00 AM;11:00am PDT Monday, July 6, 2026;12"
"The Reef;the_reef_sfo1_zone_f;36651386;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=36651386;710 Labs List Deliveries (Pacific Time);7/6/2026;4:00 PM;4:00pm PDT Monday, July 6, 2026;12"
"The Reef;the_reef_sfo1_zone_g;53043366;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=53043366;710 Labs List Deliveries (Pacific Time);7/5/2026;11:00 AM;11:00am PDT Sunday, July 5, 2026;16"
"The Reef;the_reef_sfo1_zone_g;53043366;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=53043366;710 Labs List Deliveries (Pacific Time);7/5/2026;4:00 PM;4:00pm PDT Sunday, July 5, 2026;16"
"The Reef;the_reef_sfo1_zone_h;53043395;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=53043395;710 Labs List Deliveries (Pacific Time);7/5/2026;11:00 AM;11:00am PDT Sunday, July 5, 2026;16"
"The Reef;the_reef_sfo1_zone_h;53043395;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=53043395;710 Labs List Deliveries (Pacific Time);7/5/2026;4:00 PM;4:00pm PDT Sunday, July 5, 2026;16"
"The Grove;the_grove_la_mesa_pickup;27155846;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=27155846;710 Labs List Deliveries (Pacific Time);7/4/2026;10:00 AM;10:00am PDT Saturday, July 4, 2026;10"
"The Grove;the_grove_la_mesa_pickup;27155846;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=27155846;710 Labs List Deliveries (Pacific Time);7/4/2026;3:00 PM;3:00pm PDT Saturday, July 4, 2026;10"
"The Grove;the_grove_la_mesa_pickup;27155846;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=27155846;710 Labs List Deliveries (Pacific Time);7/5/2026;10:00 AM;10:00am PDT Sunday, July 5, 2026;10"
"The Grove;the_grove_la_mesa_pickup;27155846;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=27155846;710 Labs List Deliveries (Pacific Time);7/5/2026;3:00 PM;3:00pm PDT Sunday, July 5, 2026;10"
"The Grove;the_grove_la_mesa_pickup;27155846;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=27155846;710 Labs List Deliveries (Pacific Time);7/6/2026;10:00 AM;10:00am PDT Monday, July 6, 2026;10"
"The Grove;the_grove_la_mesa_pickup;27155846;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=27155846;710 Labs List Deliveries (Pacific Time);7/6/2026;3:00 PM;3:00pm PDT Monday, July 6, 2026;10"
"The Grove;the_grove_la_mesa_pickup;27155846;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=27155846;710 Labs List Deliveries (Pacific Time);7/7/2026;10:00 AM;10:00am PDT Tuesday, July 7, 2026;10"
