Drop Date,9/21/2026,,,,,,,,,,,,,,,,,
# of Pickup Days,5,,,,,,,,,,,,,,,,,
Availability per Slot,15,,,,,,,,,,,,,,,,,
Calendar Name,710 Labs List (New Jersey) (Eastern Time),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Facility,Facility_Slug,Appointment ID,Duration,Dates,Times,Timezone,Bottom,Partner;Partner_region_zone;Appointment ID;URL;Calendar Name;Date Offered;Time Offered;Link Text;Availability,,Partner,Partner_region_zone,Appointment ID,URL,Calendar Name,Date Offered,Time Offered,Link Text,Availability
,,,,,,,x,"Nirvana Dispensary - Township;nirvana_dispensary_township;83511890;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890;710 Labs List (New Jersey) (Eastern Time);9/29/2026;11:00 AM;11:00am EDT Tuesday, September 29, 2026;15",,Nirvana Dispensary - Township,nirvana_dispensary_township,83511890,https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890,710 Labs List (New Jersey) (Eastern Time),9/29/2026,11:00 AM,"11:00am EDT Tuesday, September 29, 2026",15
,,,,,,,x,"Nirvana Dispensary - Township;nirvana_dispensary_township;83511890;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890;710 Labs List (New Jersey) (Eastern Time);9/30/2026;11:00 AM;11:00am EDT Wednesday, September 30, 2026;15",,Nirvana Dispensary - Township,nirvana_dispensary_township,83511890,https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890,710 Labs List (New Jersey) (Eastern Time),9/30/2026,11:00 AM,"11:00am EDT Wednesday, September 30, 2026",15
,,,,,,,x,"Nirvana Dispensary - Township;nirvana_dispensary_township;83511890;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890;710 Labs List (New Jersey) (Eastern Time);9/26/2026;3:00 PM;3:00pm EDT Saturday, September 26, 2026;15",,Nirvana Dispensary - Township,nirvana_dispensary_township,83511890,https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890,710 Labs List (New Jersey) (Eastern Time),9/26/2026,3:00 PM,"3:00pm EDT Saturday, September 26, 2026",15
,,,,,,,x,"Nirvana Dispensary - Township;nirvana_dispensary_township;83511890;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890;710 Labs List (New Jersey) (Eastern Time);9/27/2026;3:00 PM;3:00pm EDT Sunday, September 27, 2026;15",,Nirvana Dispensary - Township,nirvana_dispensary_township,83511890,https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890,710 Labs List (New Jersey) (Eastern Time),9/27/2026,3:00 PM,"3:00pm EDT Sunday, September 27, 2026",15
,,,,,,,x,"Nirvana Dispensary - Township;nirvana_dispensary_township;83511890;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890;710 Labs List (New Jersey) (Eastern Time);9/28/2026;3:00 PM;3:00pm EDT Monday, September 28, 2026;15",,Nirvana Dispensary - Township,nirvana_dispensary_township,83511890,https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890,710 Labs List (New Jersey) (Eastern Time),9/28/2026,3:00 PM,"3:00pm EDT Monday, September 28, 2026",15
,,,,,,,x,"Nirvana Dispensary - Township;nirvana_dispensary_township;83511890;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890;710 Labs List (New Jersey) (Eastern Time);9/29/2026;3:00 PM;3:00pm EDT Tuesday, September 29, 2026;15",,Nirvana Dispensary - Township,nirvana_dispensary_township,83511890,https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890,710 Labs List (New Jersey) (Eastern Time),9/29/2026,3:00 PM,"3:00pm EDT Tuesday, September 29, 2026",15
,,,,,,,x,"Nirvana Dispensary - Township;nirvana_dispensary_township;83511890;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890;710 Labs List (New Jersey) (Eastern Time);9/30/2026;3:00 PM;3:00pm EDT Wednesday, September 30, 2026;15",,Nirvana Dispensary - Township,nirvana_dispensary_township,83511890,https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83511890,710 Labs List (New Jersey) (Eastern Time),9/30/2026,3:00 PM,"3:00pm EDT Wednesday, September 30, 2026",15
,,,,,,,x,"Pure Blossom - Pennington;pure_blossom_pennington;83245592;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83245592;710 Labs List (New Jersey) (Eastern Time);9/26/2026;11:00 AM;11:00am EDT Saturday, September 26, 2026;15",,Pure Blossom - Pennington,pure_blossom_pennington,83245592,https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83245592,710 Labs List (New Jersey) (Eastern Time),9/26/2026,11:00 AM,"11:00am EDT Saturday, September 26, 2026",15
,,,,,,,x,"Pure Blossom - Pennington;pure_blossom_pennington;83245592;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83245592;710 Labs List (New Jersey) (Eastern Time);9/27/2026;11:00 AM;11:00am EDT Sunday, September 27, 2026;15",,Pure Blossom - Pennington,pure_blossom_pennington,83245592,https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83245592,710 Labs List (New Jersey) (Eastern Time),9/27/2026,11:00 AM,"11:00am EDT Sunday, September 27, 2026",15
,,,,,,,x,"Pure Blossom - Pennington;pure_blossom_pennington;83245592;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83245592;710 Labs List (New Jersey) (Eastern Time);9/28/2026;11:00 AM;11:00am EDT Monday, September 28, 2026;15",,Pure Blossom - Pennington,pure_blossom_pennington,83245592,https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=83245592,710 Labs List (New Jersey) (Eastern Time),9/28/2026,11:00 AM,"11:00am EDT Monday, September 28, 2026",15
